postcode,suburb,lat,lon,Local Government Area,Region,Year,A20,A50,A70,A80,A90,B10,B20,B30,B40,B50,B60,C10,C20,C30,C90,D10,D20,D30,D40,E10,E20,F10,F20,F30,F90,A,B,C,D,E,F,Total
3064,donnybrook,-37.542028,144.963579,Hume,Northern Metropolitan,2015,0,0,0,1,0,0,1,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,14
3064,kalkallo,-37.529371999999995,144.94710600000002,Hume,Northern Metropolitan,2015,4,0,0,3,0,1,5,3,12,2,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,7,23,1,1,5,0,37
3064,mickleham,-37.560864,144.879078,Hume,Northern Metropolitan,2015,17,1,4,3,1,10,14,47,89,6,0,2,1,4,0,6,2,0,0,2,4,0,0,0,1,26,166,7,8,6,1,214
3064,roxburgh park,-37.636795,144.932604,Hume,Northern Metropolitan,2015,120,9,28,12,15,11,100,146,306,58,0,3,4,39,0,33,16,8,1,9,54,0,1,1,0,184,621,46,58,63,2,974
3065,fitzroy,-37.800917,144.979165,Yarra,Northern Metropolitan,2015,163,16,12,10,30,7,173,184,880,183,0,23,8,65,0,55,142,4,0,7,96,0,0,0,0,231,1427,96,201,103,0,2058
3066,collingwood,-37.800366,144.984149,Yarra,Northern Metropolitan,2015,109,8,9,4,20,4,122,201,584,93,0,15,4,46,0,35,97,2,0,5,143,0,0,1,0,150,1004,65,134,148,1,1502
3067,abbotsford,-37.801781,144.998752,Yarra,Northern Metropolitan,2015,44,4,3,4,9,2,77,114,497,68,0,7,0,27,0,25,41,2,0,4,44,0,0,0,0,64,758,34,68,48,0,972
3068,clifton hill,-37.788118,144.992067,Yarra,Northern Metropolitan,2015,24,1,3,1,3,2,42,53,248,19,0,1,2,15,0,15,14,0,0,1,8,0,0,0,1,32,364,18,29,9,1,453
3068,fitzroy north,-37.7834,144.98468799999998,Yarra,Northern Metropolitan,2015,4,0,0,0,0,0,8,6,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0,39
3070,northcote,-37.769857,144.995276,Darebin,Northern Metropolitan,2015,96,11,24,11,22,4,162,236,791,94,0,10,2,44,0,27,53,2,0,3,96,0,1,0,1,164,1287,56,82,99,2,1690
3071,thornbury,-37.75504,144.99858899999998,Darebin,Northern Metropolitan,2015,67,5,15,3,21,5,113,154,501,34,0,3,1,16,0,13,18,0,0,0,37,0,0,0,0,111,807,20,31,37,0,1006
3072,preston,-37.738735999999996,145.00051499999998,Darebin,Northern Metropolitan,2015,251,16,41,26,47,21,340,565,1913,322,1,19,3,101,0,102,69,13,0,30,234,0,2,2,1,381,3162,123,184,264,5,4119
3073,reservoir,-37.716896999999996,145.00698500000001,Darebin,Northern Metropolitan,2015,287,18,60,36,48,30,269,622,1161,121,0,33,7,110,0,74,41,10,0,26,194,1,5,0,2,449,2203,150,125,220,8,3155
3074,thomastown,-37.680338,145.01428700000002,Whittlesea,Northern Metropolitan,2015,140,21,26,22,22,14,129,179,636,73,0,16,8,54,0,40,13,2,0,22,83,0,3,0,1,231,1031,78,55,105,4,1504
3075,lalor,-37.665857,145.017194,Whittlesea,Northern Metropolitan,2015,113,11,27,12,16,10,117,118,311,32,0,7,6,46,0,20,15,3,0,6,76,0,1,1,0,179,588,59,38,82,2,948
3076,epping,-37.638363,145.009493,Whittlesea,Northern Metropolitan,2015,221,20,56,31,29,14,210,238,936,149,0,16,8,60,0,45,24,5,0,30,157,0,0,1,1,357,1547,84,74,187,2,2251
3078,alphington,-37.780767,145.03116,Darebin,Northern Metropolitan,2015,5,2,4,0,0,0,15,23,87,4,0,0,0,1,0,2,1,0,0,1,4,0,0,0,0,11,129,1,3,5,0,149
3078,fairfield,-37.776946,145.018479,Darebin,Northern Metropolitan,2015,13,2,6,1,5,1,23,39,137,15,0,0,1,4,0,1,8,0,0,1,8,0,0,0,0,27,215,5,9,9,0,265
3079,ivanhoe,-37.76964,145.041425,Banyule,Eastern Metropolitan,2015,30,1,5,2,10,5,47,117,236,17,0,2,0,9,0,3,8,3,0,4,34,0,0,0,0,48,422,11,14,38,0,533
3079,ivanhoe east,-37.77283,145.059401,Banyule,Eastern Metropolitan,2015,7,0,0,1,0,0,7,18,41,1,0,1,0,3,0,1,1,0,0,0,3,0,0,0,0,8,67,4,2,3,0,84
3081,bellfield,-37.751819,145.045449,Banyule,Eastern Metropolitan,2015,8,0,3,0,4,4,12,13,22,3,0,3,1,1,0,0,3,1,0,0,3,0,0,0,0,15,54,5,4,3,0,81
3081,heidelberg heights,-37.742268,145.048873,Banyule,Eastern Metropolitan,2015,42,1,9,1,5,2,47,54,135,12,0,5,2,12,0,14,8,2,0,5,31,0,0,1,1,58,250,19,24,36,2,389
3081,heidelberg west,-37.74944,145.0414,Banyule,Eastern Metropolitan,2015,93,9,17,4,12,9,107,103,228,30,0,5,3,36,0,27,15,3,0,2,85,0,0,0,1,135,477,44,45,87,1,789
3082,mill park,-37.667957,145.060693,Whittlesea,Northern Metropolitan,2015,155,5,42,15,23,13,168,140,557,92,2,15,8,47,0,31,9,4,0,14,117,0,3,0,0,240,972,70,44,131,3,1460
3083,bundoora,-37.70132,145.071967,Banyule,Northern Metropolitan,2015,37,2,10,6,9,2,33,87,175,52,0,6,4,12,0,2,7,3,0,4,23,0,0,0,0,64,349,22,12,27,0,474
3083,kingsbury,-37.714064,145.035103,Banyule,Northern Metropolitan,2015,12,3,3,0,4,3,16,56,80,12,0,1,0,9,0,3,5,0,0,4,9,0,0,0,0,22,167,10,8,13,0,220
